	Is ad		Related ad domain	Suspect domain	Ad blocked	Suspect blocked	Ad first appear	Suspect first appear	Related reasons	Similar paths			
41	v	12	sxtdtlqg.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-18	2020-05-17	dns	cert			
42	v	13	ahsipjna.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-18	2020-05-17	dns	cert			
43	v	14	cfdfdpsw.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-05-01	2020-05-17	dns	cert			
44	v	15	bsbygnkl.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-29	2020-05-17	dns	cert			
45	v	16	nlgufbrn.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-09-16	2020-05-17	dns	cert			
46	v	17	vgjbbtaf.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-13	2020-05-17	dns	cert			
47	v	18	kmnjnrui.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-28	2020-05-17	dns	cert			
48	v	19	qacuwaah.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-05	2020-05-17	dns	cert			
49	v	20	cycrbrhn.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-18	2020-05-17	dns	cert			
50	v	21	crgjgtmv.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-20	2020-05-17	dns	cert			
51	v	22	wxtmfjls.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-11-19	2020-05-17	dns	cert			
52	v	23	znmmqlwd.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-12-24	2020-05-17	dns	cert			
53	v	24	iahijbxb.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-03-18	2020-05-17	dns	cert			
54	v	25	tkhlnoqa.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-05-29	2020-05-17	dns	cert			
55	v	26	bdqfynss.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-19	2020-05-17	dns	cert			
56	v	27	rovivhzq.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-10-01	2020-05-17	dns	cert			
57	v	28	dsiuplbb.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-18	2020-05-17	dns	cert			
58	v	29	gsyffftl.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-16	2020-05-17	dns	cert			
59	v	30	ltuhmkbh.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-10-17	2020-05-17	dns	cert			
60	v	31	tlxlhblf.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-18	2020-05-17	dns	cert			
61	v	32	ensjpqxo.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-05-19	2020-05-17	dns	cert			
62	v	33	lxrtlnxp.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-09-16	2020-05-17	dns	cert			
63	v	34	qbcsrycx.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-05-08	2020-05-17	dns	cert			
64	v	35	edqbitda.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-12-02	2020-05-17	dns	cert			
65	v	36	oviuansd.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-09-30	2020-05-17	dns	cert			
66	v	37	gaaajrsb.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-08	2020-05-17	dns	cert			
67	v	38	mnsmgvor.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-17	2020-05-17	dns	cert			
68	v	39	vbpttprj.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-03-19	2020-05-17	dns	cert			
69	v	40	gekzjihs.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-12-05	2020-05-17	dns	cert			
70	v	41	syoaziwx.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-21	2020-05-17	dns	cert			
71	v	42	naulcnbi.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-17	2020-05-17	dns	cert			
72	v	43	wpimrxyu.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-05	2020-05-17	dns	cert			
73	v	44	urunnuxo.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-01	2020-05-17	dns	cert			
74	v	45	odllmmfm.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2019-12-02	2020-05-17	dns	cert			
75	v	46	cduvayzt.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-10-02	2020-05-17	dns	cert			
76	v	47	cnooqfia.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-10-17	2020-05-17	dns	cert			
77	v	48	cbosxhae.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-17	2020-05-17	dns	cert			
78	v	49	zklluzlc.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-03-22	2020-05-17	dns	cert			
79	v	50	mjmqkanx.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-05-21	2020-05-17	dns	cert			
80	v	51	rnuummuz.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-05-19	2020-05-17	dns	cert			
81	v	52	oytvriuu.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-02-15	2020-05-17	dns	cert			
82	v	53	nvsamdfo.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-11-24	2020-05-17	dns	cert			
83	v	54	sokmesok.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-12-05	2020-05-17	dns	cert			
84	v	55	pmrssyxs.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-05-27	2020-05-17	dns	cert			
85	v	56	tqsbdetu.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-10-24	2020-05-17	dns	cert			
86	v	57	otfgerej.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-11	2020-05-17	dns	cert			
87	v	58	vdguafpk.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-05-14	2020-05-17	dns	cert			
88	v	59	jkijzekf.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-18	2020-05-17	dns	cert			
89	v	60	vqkvxkun.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-30	2020-05-17	dns	cert			
90	v	61	eagiueke.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-23	2020-05-17	dns	cert			
91	v	62	jnosheys.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-18	2020-05-17	dns	cert			
92	v	63	nczxlznw.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-18	2020-05-17	dns	cert			
93	v	64	kgcuqsaf.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-03-24	2020-05-17	dns	cert			
94	v	65	mzeibljv.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-07-30	2020-05-17	dns	cert			
95	v	66	llsyuvpe.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-10-31	2020-05-17	dns	cert			
96	v	67	hetvzvri.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-06-28	2020-05-17	dns	cert			
97	v	68	jlnstbfr.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-07	2020-05-17	dns	cert			
98	v	69	aeqkzsno.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-31	2020-05-17	dns	cert			
99	v	70	yvymwlgz.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-29	2020-05-17	dns	cert			
100	v	71	spflfrpz.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-10-04	2020-05-17	dns	cert			
101	v	72	leidakor.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-12-01	2020-05-17	dns				
102	v	73	jbwturzi.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-10-29	2020-05-17	dns	cert			
103	v	74	iuoeacjo.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-10-01	2020-05-17	dns	cert			
104	v	75	ihvsbzlh.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-04-18	2020-05-17	dns	cert			
105	v	76	qnjoyqjy.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-11-19	2020-05-17	dns	cert			
106	v	77	innfogqo.podfdch.com	nwfdluvz.podfdch.com	2020-09-06	2020-09-06	2020-08-19	2020-05-17	dns	cert			
